snapshot_date,skill,skill_mention_count,total_sample_signals,skill_demand_share,role_category_count,avg_confidence_score
2026-05-29,SQL,11,25,44.0,3,71.8
2026-05-29,Data Visualization,8,25,32.0,3,71.9
2026-05-29,Statistics,7,25,28.0,3,70.7
2026-05-29,Tableau,6,25,24.0,3,71.7
2026-05-29,Power BI,5,25,20.0,3,72.0
2026-05-29,Python,5,25,20.0,1,71.0
2026-05-29,Excel,3,25,12.0,2,70.0
2026-05-29,Agile,2,25,8.0,2,70.0
2026-05-29,Machine Learning,2,25,8.0,2,72.5
2026-05-29,AWS,1,25,4.0,1,70.0
2026-05-29,Azure,1,25,4.0,1,70.0
2026-05-29,ETL,1,25,4.0,1,80.0
2026-05-29,Forecasting,1,25,4.0,1,70.0
2026-05-29,GCP,1,25,4.0,1,70.0
2026-05-29,Looker,1,25,4.0,1,80.0
2026-05-29,Qlik,1,25,4.0,1,70.0
2026-05-29,SAP,1,25,4.0,1,70.0
