sample_row,market_read_date,country,city,role_category,seniority,skills_detected,skill_count,posting_month,freshness_bucket,salary_listed,review_scope,confidence_score
sample_001,2026-05-22,United Arab Emirates,Unknown,Data Analyst,Not specified,Data Visualization; Python; SQL,3,2026-05,fresh_0_30_days,no,single_observation,75
sample_002,2026-05-22,Saudi Arabia,Unknown,Business Analyst,Not specified,not detected in retained fields,0,2026-05,fresh_0_30_days,no,single_observation,65
sample_003,2026-05-22,United Arab Emirates,Abu Dhabi,BI Analyst,Not specified,Azure; DAX; Data Visualization; Databricks; Power BI; Power Query; Python; SQL; Snowflake,9,2026-04,fresh_0_30_days,no,single_observation,85
sample_004,2026-05-22,United Arab Emirates,Abu Dhabi,Financial Analyst,Not specified,Forecasting,1,2026-04,fresh_0_30_days,no,single_observation,85
sample_005,2026-05-22,United Arab Emirates,Abu Dhabi,FP&A Analyst,Not specified,Excel; Forecasting,2,2026-05,fresh_0_30_days,no,single_observation,80
sample_006,2026-05-22,United Arab Emirates,Dubai,Investment Analyst,Not specified,Data Visualization,1,2026-05,fresh_0_30_days,no,single_observation,85
sample_007,2026-05-22,United Arab Emirates,Abu Dhabi,Credit Analyst,Not specified,not detected in retained fields,0,2026-04,recent_31_90_days,yes,single_observation,75
sample_008,2026-05-22,United Arab Emirates,Abu Dhabi,Pricing Analyst,Senior,Data Visualization; Databricks; Excel; Forecasting; Power BI; Python; SAP; SQL; Salesforce; Statistics; Tableau,11,Unknown,unknown,no,single_observation,70
sample_009,2026-05-22,United Arab Emirates,Dubai,Marketing Analyst,Not specified,not detected in retained fields,0,2026-04,recent_31_90_days,no,single_observation,75
sample_010,2026-05-22,United Arab Emirates,Dubai,Supply Chain Analyst,Not specified,not detected in retained fields,0,2026-05,fresh_0_30_days,no,single_observation,75
sample_011,2026-05-22,United Arab Emirates,Abu Dhabi,Strategy Analyst,Not specified,not detected in retained fields,0,2026-03,recent_31_90_days,no,single_observation,75
sample_012,2026-05-22,United Arab Emirates,Unknown,Operations Analyst,Not specified,CRM; Excel,2,Unknown,unknown,no,single_observation,65
sample_013,2026-05-22,United Arab Emirates,Abu Dhabi,Product Analyst,Not specified,Data Visualization; SQL; Snowflake; Statistics,4,2026-04,fresh_0_30_days,no,single_observation,85
sample_014,2026-05-22,United Arab Emirates,Abu Dhabi,Reporting Analyst,Not specified,Data Visualization; Excel; Forecasting; Power BI,4,2026-05,fresh_0_30_days,no,single_observation,80
sample_015,2026-05-22,United Arab Emirates,Abu Dhabi,Risk Analyst,Not specified,Excel; SQL,2,2026-05,fresh_0_30_days,no,single_observation,80
sample_016,2026-05-22,United Arab Emirates,Abu Dhabi,Research Analyst,Not specified,Data Visualization; Tableau,2,2026-04,fresh_0_30_days,no,single_observation,85
sample_017,2026-05-22,United Arab Emirates,Abu Dhabi,Commercial Analyst,Not specified,not detected in retained fields,0,2026-05,fresh_0_30_days,no,single_observation,75
sample_018,2026-05-22,United Arab Emirates,Abu Dhabi,Data Scientist/Analyst-adjacent,Lead/Principal,ETL; Machine Learning; Python; SQL; Statistics,5,2026-05,fresh_0_30_days,no,single_observation,85
sample_019,2026-05-22,Bahrain,Manama,BI Analyst,Not specified,Data Visualization; ETL; Looker; Power BI; SQL; Statistics; Tableau,7,2026-05,fresh_0_30_days,no,single_observation,80
sample_020,2026-05-22,Bahrain,Manama,Business Analyst,Junior,SQL,1,2026-04,fresh_0_30_days,no,single_observation,80
sample_021,2026-05-22,Bahrain,Manama,Business Analyst,Not specified,not detected in retained fields,0,2026-05,fresh_0_30_days,no,single_observation,75
sample_022,2026-05-22,Bahrain,Manama,Business Analyst,Not specified,Agile; Jira; Machine Learning,3,Unknown,unknown,no,single_observation,70
sample_023,2026-05-22,Bahrain,Manama,Business Analyst,Not specified,Agile; Jira,2,Unknown,unknown,no,single_observation,70
sample_024,2026-05-22,Bahrain,Manama,Business Analyst,Not specified,SQL; Statistics,2,2026-04,recent_31_90_days,no,single_observation,65
sample_025,2026-05-22,Bahrain,Manama,Business Analyst,Not specified,not detected in retained fields,0,Unknown,unknown,no,single_observation,65
