snapshot_date,role_category,sample_signal_count,sample_share,skill_bearing_sample_count,avg_confidence_score,fresh_sample_count
2026-05-22,Business Analyst,7,28.0,4,70.0,3
2026-05-22,BI Analyst,2,8.0,2,82.5,2
2026-05-22,Commercial Analyst,1,4.0,0,75.0,1
2026-05-22,Credit Analyst,1,4.0,0,75.0,0
2026-05-22,Data Analyst,1,4.0,1,75.0,1
2026-05-22,Data Scientist/Analyst-adjacent,1,4.0,1,85.0,1
2026-05-22,FP&A Analyst,1,4.0,1,80.0,1
2026-05-22,Financial Analyst,1,4.0,1,85.0,1
2026-05-22,Investment Analyst,1,4.0,1,85.0,1
2026-05-22,Marketing Analyst,1,4.0,0,75.0,0
2026-05-22,Operations Analyst,1,4.0,1,65.0,0
2026-05-22,Pricing Analyst,1,4.0,1,70.0,0
2026-05-22,Product Analyst,1,4.0,1,85.0,1
2026-05-22,Reporting Analyst,1,4.0,1,80.0,1
2026-05-22,Research Analyst,1,4.0,1,85.0,1
2026-05-22,Risk Analyst,1,4.0,1,80.0,1
2026-05-22,Strategy Analyst,1,4.0,0,75.0,0
2026-05-22,Supply Chain Analyst,1,4.0,0,75.0,1
