snapshot_date,skill,skill_mention_count,total_sample_signals,skill_demand_share,role_category_count,avg_confidence_score
2026-05-22,SQL,9,25,36.0,7,78.3
2026-05-22,Data Visualization,8,25,32.0,7,80.6
2026-05-22,Excel,5,25,20.0,5,75.0
2026-05-22,Statistics,5,25,20.0,5,77.0
2026-05-22,Forecasting,4,25,16.0,4,78.8
2026-05-22,Power BI,4,25,16.0,3,78.8
2026-05-22,Python,4,25,16.0,4,78.8
2026-05-22,Tableau,3,25,12.0,3,78.3
2026-05-22,Agile,2,25,8.0,1,70.0
2026-05-22,Databricks,2,25,8.0,2,77.5
2026-05-22,ETL,2,25,8.0,2,82.5
2026-05-22,Jira,2,25,8.0,1,70.0
2026-05-22,Machine Learning,2,25,8.0,2,77.5
2026-05-22,Snowflake,2,25,8.0,2,85.0
2026-05-22,Azure,1,25,4.0,1,85.0
2026-05-22,CRM,1,25,4.0,1,65.0
2026-05-22,DAX,1,25,4.0,1,85.0
2026-05-22,Looker,1,25,4.0,1,80.0
2026-05-22,Power Query,1,25,4.0,1,85.0
2026-05-22,SAP,1,25,4.0,1,70.0
2026-05-22,Salesforce,1,25,4.0,1,70.0
